Postcode,Plaatsnaam,Deelgemeente,Hoofdgemeente,Provincie
2830,Willebroek,Neen,WILLEBROEK,ANTWERPEN
2840,Reet,Ja,RUMST,ANTWERPEN
2840,Rumst,Neen,RUMST,ANTWERPEN
2840,Terhagen,Ja,RUMST,ANTWERPEN
2845,Niel,Neen,NIEL,ANTWERPEN
2850,Boom,Neen,BOOM,ANTWERPEN
2860,Sint-Katelijne-Waver,Neen,SINT-KATELIJNE-WAVER,ANTWERPEN
2861,Onze-Lieve-Vrouw-Waver,Ja,SINT-KATELIJNE-WAVER,ANTWERPEN
2870,Breendonk,Ja,PUURS-SINT-AMANDS,ANTWERPEN
2870,Liezele,Ja,PUURS-SINT-AMANDS,ANTWERPEN
2870,Puurs,Ja,PUURS-SINT-AMANDS,ANTWERPEN
2870,Ruisbroek,Ja,PUURS-SINT-AMANDS,ANTWERPEN
2880,Bornem,Neen,BORNEM,ANTWERPEN
2880,Hingene,Ja,BORNEM,ANTWERPEN
2880,Mariekerke,Ja,BORNEM,ANTWERPEN
2880,Weert,Ja,BORNEM,ANTWERPEN
2890,Lippelo,Ja,PUURS-SINT-AMANDS,ANTWERPEN
2890,Oppuurs,Ja,PUURS-SINT-AMANDS,ANTWERPEN
2890,Sint-Amands,Ja,PUURS-SINT-AMANDS,ANTWERPEN
2900,Schoten,Neen,SCHOTEN,ANTWERPEN
2910,Essen,Neen,ESSEN,ANTWERPEN
2920,Kalmthout,Neen,KALMTHOUT,ANTWERPEN
2930,Brasschaat,Neen,BRASSCHAAT,ANTWERPEN
